Model,Feature Type,Accuracy,Precision,Recall,F1-score
LogisticRegression,CountVectorizer,0.9766816143497757,1.0,0.8266666666666667,0.9051094890510949
LogisticRegression,TF-IDF,0.9506726457399103,0.9611650485436893,0.66,0.782608695652174
NaiveBayes,CountVectorizer,0.9811659192825112,0.9640287769784173,0.8933333333333333,0.9273356401384083
NaiveBayes,TF-IDF,0.968609865470852,1.0,0.7666666666666667,0.8679245283018868
RandomForest,CountVectorizer,0.9704035874439462,1.0,0.78,0.8764044943820225
RandomForest,TF-IDF,0.9748878923766816,1.0,0.8133333333333334,0.8970588235294118
